ReadDate,Reading,ConsumptionProfileDate,ProfileDateConsumption,H0030,H0100,H0130,H0200,H0230,H0300,H0330,H0400,H0430,H0500,H0530,H0600,H0630,H0700,H0730,H0800,H0830,H0900,H0930,H01000,H01030,H01100,H01130,H01200,H01230,H01300,H01330,H01400,H01430,H01500,H01530,H01600,H01630,H01700,H01730,H01800,H01830,H01900,H01930,H02000,H02030,H02100,H02130,H02200,H02230,H02300,H02330,H02400,ReportingUnit
26/10/2022,1771690,26/10/2022,5521.4516,108.5773,114.9635,114.9635,114.9635,111.7698,114.9635,111.7698,105.3837,118.1571,118.1571,111.7698,124.5444,127.737,121.3508,124.5444,124.5444,127.737,124.5444,118.1571,134.1242,124.5444,111.7698,114.9635,118.1571,114.9635,108.5773,118.1571,108.5773,108.5773,105.3837,118.1571,111.7698,111.7698,118.1571,118.1571,114.9635,108.5773,108.5773,114.9635,111.7698,114.9635,108.5773,108.5773,102.19,108.5773,114.9635,108.5773,111.7698,KWh
09/12/2022,1788514,09/12/2022,8802.2515,167.9731,180.6501,164.8036,180.6501,174.3122,171.1427,180.6501,177.4806,180.6501,183.8196,173.8698,195.9978,205.4822,186.5145,208.6426,192.8364,208.6426,192.8364,192.8364,195.9978,192.8364,192.8364,180.1916,180.1916,183.3531,192.8364,180.1916,192.8364,180.1916,177.0301,195.9978,177.0301,192.8364,173.8698,186.5145,192.8364,186.5145,186.5145,177.0301,173.8698,183.3531,167.5468,180.1916,167.5468,180.1916,167.5468,180.1916,164.3854,KWh
15/10/2022,1768307,15/10/2022,5876.4935,114.3843,114.3843,130.271,117.5619,117.5619,127.0934,114.3843,117.5619,123.917,114.3843,123.2896,123.2896,120.1281,129.6114,129.6114,139.0958,123.2896,129.6114,132.7729,129.6114,126.4499,129.6114,126.4499,120.1281,126.4499,123.2896,120.1281,116.9666,116.9666,116.9666,120.1281,120.1281,113.8052,116.9666,126.4499,116.9666,120.1281,120.1281,123.2896,120.1281,120.1281,123.2896,116.9666,120.1281,123.2896,126.4499,120.1281,132.7729,KWh
06/02/2022,717055,06/02/2022,8328.4133,144.6776,147.823,166.6942,150.9684,147.823,163.5488,150.9684,144.6776,176.1292,154.1137,160.4034,163.5488,169.8395,163.5488,179.2746,172.9849,179.2746,185.5653,176.1292,172.9849,182.42,182.42,176.1292,172.9849,182.42,182.42,182.42,172.9849,179.2746,191.855,179.2746,182.42,179.2746,185.5653,188.7107,179.2746,182.42,185.5653,179.2746,176.1292,182.42,182.42,182.42,182.42,169.8395,176.1292,182.42,176.1292,KWh
15/04/2022,744862,15/04/2022,5765.2131,132.7729,123.2896,113.8052,120.1281,132.7729,123.2896,123.2896,135.9343,110.6437,142.2562,128.9518,147.823,132.0972,135.2426,138.3879,135.2426,128.9518,135.2426,122.6621,116.3714,132.0972,122.6621,119.5168,113.226,113.226,113.226,113.226,116.3714,110.0806,113.226,106.9363,110.0806,113.226,113.226,110.0806,106.9363,113.226,110.0806,106.9363,106.9363,116.3714,110.0806,113.226,119.5168,113.226,110.0806,116.3714,122.6621,KWh
25/12/2022,1796044,25/12/2022,7274.4664,145.0476,163.9671,122.9758,157.6602,157.6602,157.6602,157.6602,116.669,154.5079,160.8136,157.6602,138.7419,170.2739,170.2739,148.201,151.3545,167.1205,173.4273,138.7419,173.4273,129.2816,173.4273,135.5884,157.6602,132.435,167.1205,122.9758,163.9671,132.435,157.6602,167.1205,135.5884,173.4273,132.435,170.2739,132.435,167.1205,160.8136,129.2816,167.1205,135.5884,163.9671,126.1282,154.5079,160.8136,122.9758,157.6602,160.8136,KWh
16/01/2022,707644,16/01/2022,7376.3577,166.6942,150.9684,163.5488,166.6942,157.258,160.4034,157.258,169.8395,144.6776,169.8395,159.9932,163.1305,169.4052,159.9932,178.8161,172.5425,153.7196,181.9534,159.9932,159.9932,147.4449,156.8558,128.622,122.3484,103.5255,106.6628,100.3882,94.1135,144.3076,153.7196,153.7196,156.8558,150.5823,163.1305,150.5823,159.9932,163.1305,163.1305,153.7196,169.4052,156.8558,150.5823,163.1305,156.8558,163.1305,163.1305,153.7196,159.9932,KWh
12/01/2022,705813,12/01/2022,7824.1776,156.8558,153.7196,175.6788,141.1703,185.0908,150.5823,172.5425,150.5823,169.4052,163.1305,169.8395,147.823,172.9849,185.5653,182.42,166.6942,204.4365,160.4034,188.7107,172.9849,160.4034,160.4034,160.4034,160.4034,157.258,163.5488,157.258,157.258,157.258,154.1137,157.258,157.258,157.258,191.855,160.4034,150.9684,154.1137,182.42,154.1137,154.1137,150.9684,150.9684,157.258,169.8395,144.6776,147.823,160.4034,163.5488,KWh
25/01/2022,711927,25/01/2022,8655.5815,167.1205,167.1205,170.2739,170.2739,170.2739,167.1205,170.2739,170.2739,173.4273,176.5797,170.2739,189.1934,201.806,189.1934,192.3457,201.806,192.3457,192.3457,198.6525,189.1934,189.1934,204.9594,182.8865,189.1934,201.806,186.0399,186.0399,204.9594,182.8865,189.1934,220.7254,189.1934,179.7331,163.9671,182.8865,186.0399,176.5797,173.4273,167.1205,163.9671,173.4273,163.9671,163.9671,163.9671,157.6602,167.1205,160.8136,163.9671,KWh
05/04/2022,741421,05/04/2022,6861.7159,142.2562,139.0958,132.7729,135.9343,132.7729,132.7729,135.9343,139.0958,142.2562,132.7729,132.435,148.201,151.3545,148.201,151.3545,151.3545,148.201,148.201,148.201,148.201,141.8942,141.8942,148.201,148.201,148.201,145.0476,148.201,151.3545,148.201,148.201,148.201,148.201,148.201,148.201,148.201,145.0476,141.8942,138.7419,141.8942,138.7419,141.8942,141.8942,138.7419,135.5884,138.7419,138.7419,132.435,135.5884,KWh
16/12/2022,1792083,16/12/2022,9230.7366,186.5145,167.5468,183.3531,180.1916,180.1916,186.5145,183.3531,177.0301,195.9978,170.7083,202.8356,212.343,212.343,209.1735,212.343,209.1735,209.1735,212.343,196.4966,215.5125,196.4966,206.0051,190.1586,193.327,199.6661,202.8356,186.9891,183.8196,193.327,180.6501,193.327,183.8196,193.327,190.1586,196.4966,209.1735,177.4806,206.0051,177.4806,183.8196,186.9891,202.8356,174.3122,186.9891,186.9891,171.1427,196.4966,177.4806,KWh
22/02/2022,724124,22/02/2022,7732.6997,160.0734,160.0734,160.0734,156.8728,153.6711,144.0661,166.4768,150.4694,153.6711,153.6711,149.3352,168.3995,171.577,165.2219,168.3995,165.2219,168.3995,165.2219,165.2219,165.2219,165.2219,168.3995,165.2219,162.0444,165.2219,162.0444,165.2219,158.8668,165.2219,165.2219,162.0444,165.2219,165.2219,162.0444,165.2219,171.577,162.0444,158.8668,165.2219,162.0444,155.6903,162.0444,158.8668,152.5128,152.5128,155.6903,146.1577,155.6903,KWh
02/01/2022,701298,02/01/2022,6908.9159,132.7729,126.4499,126.4499,135.9343,123.2896,139.0958,120.1281,139.0958,123.2896,142.2562,142.6182,136.2802,148.9572,152.1267,142.6182,158.4646,142.6182,152.1267,155.2962,152.1267,145.7877,148.9572,148.9572,136.2802,145.7877,152.1267,133.1107,148.9572,142.6182,145.7877,161.6341,142.6182,158.4646,148.9572,148.9572,155.2962,148.9572,145.7877,152.1267,142.6182,139.4497,152.1267,142.6182,148.9572,142.6182,145.7877,145.7877,145.7877,KWh
11/11/2022,1776914,11/11/2022,5671.2414,114.6739,114.6739,114.6739,108.3038,111.4883,114.6739,108.3038,111.4883,114.6739,117.8595,117.5619,127.0934,127.0934,127.0934,120.7394,123.917,130.271,120.7394,123.917,127.0934,130.271,117.5619,127.0934,120.7394,120.7394,123.917,117.5619,117.5619,117.5619,108.0303,117.5619,117.5619,117.5619,114.3843,120.7394,114.3843,120.7394,117.5619,120.7394,114.3843,111.2068,114.3843,114.3843,111.2068,114.3843,117.5619,114.3843,120.7394,KWh
24/11/2022,1781876,24/11/2022,7898.1754,161.6341,155.2962,152.1267,155.2962,152.1267,161.6341,161.6341,155.2962,155.2962,158.4646,165.6402,175.197,175.197,172.0114,181.5671,178.3815,181.5671,181.5671,181.5671,178.3815,156.0845,168.8258,159.269,156.0845,178.3815,149.7133,162.4546,162.4546,146.5277,178.3815,181.5671,165.6402,172.0114,172.0114,162.4546,162.4546,175.197,159.269,152.8989,168.8258,156.0845,156.0845,168.8258,149.7133,152.8989,165.6402,152.8989,165.6402,KWh
